Thu Oct 31 17:37:58 +0000 2019,Alles wirr bei mir und nicht vom Bier
Wed Oct 02 17:47:09 +0000 2019,Schlemmerabend ist genau das richtige für einen romantischen Abend und wer weiß was noch so alles genascht wird Liebe Grüße diesmal Olaf
Wed Oct 02 17:05:33 +0000 2019,Mein jüngster hat etwas vorbereitet... Das schönste waren die Blumen. Und das Bier und der Käse passten auch sehr gut. So richtig schön war das gerade. #56 #SDS #Geburtstag
Wed Oct 02 16:57:23 +0000 2019,WC-Sitz mit Absenkautomatik - grandiose Erfindung der Menschheit. Hier meine aktuelle Hitparade: 1. das Rad 2. Photovoltaik 3. Bier 4. WC-Sitz mit Absenkautomatik 5. Demokratie
Wed Oct 02 16:55:13 +0000 2019,Nach 2 Impulsvorträgen und über 100 inspirierenden Sessions geht ein tolles 2. #DATEVDigicamp gerade mit Verabschiedung durch Christian Kaiser zu Ende - jetzt Feierabend-Bier und Bratwurst! Vielen Dank an das Orgteam aus allen Bereichen für perfekte Vorbereitung und Durchführung 
Wed Oct 02 12:18:16 +0000 2019,"Ein paar Tage Wien, Freunde treffen und kaum Termine. Bei Lust auf ein Bier, einfach Bescheid geben ;). #Urlaub"
Wed Oct 02 05:49:24 +0000 2019,"Bier kostet auf dem Oktoberfest elf Euro pro Liter, weil dort sehr viele dumme Leute sind, die gerne Bier trinken."
Tue Oct 01 20:49:03 +0000 2019,"#TOTFCB - verdammt du kannst dir nicht mal ein Bier holen, dann hast schon 2 Tore verpasst. @FCBayern #MiaSanMia"
Tue Oct 01 20:02:18 +0000 2019,"Ich mag nicht, was auch die meisten mögen : Pizza Bier Ballermann Tintenfisch München, viel zu voll mit Menschen und baustellen"
Tue Oct 01 18:42:22 +0000 2019,Da lässt man das Kind pullern und die Männer trinken 1-2 bier
Tue Oct 01 18:01:58 +0000 2019,"Vorsicht, der kommt aus der Hallertau, die haben da hohe Ansprüche an Bier! "
Tue Oct 01 14:55:18 +0000 2019,"Das erste Bier, das löscht den Durst. Ein zweites stimmt mich heiter. Nach dreien ist mir alles Wurst, drum sauf' ich einfach weiter. Hier gehts zum einstimmen-&gt; "
Tue Oct 01 10:03:05 +0000 2019,das erste halbe bier wohl eher oder 
Tue Oct 01 06:43:49 +0000 2019,"Genau!! Ein Jahr den Router bei Nichtbetrieb v. Strom nehmen und danach auf dr Wiesn ein Bier kaufen...Was ist aber im Folgejahr? Der Preis d. Bieres auf dr Wiesn steigt schneller als der Strompreis. Wieviele Jahre muss ich sparen, damit i. das 2. Maß kaufen kann?"
