Tue Dec 31 23:31:47 +0000 2019,Wie jedes Jahr gilt bei mir: Bier statt Böller! Frohes Neues! 
Tue Dec 03 13:32:42 +0000 2019,Dann gibt's zumindest schon mal gutes Bier #hessentag #pfungstadt
Tue Dec 03 08:02:57 +0000 2019,"Hessisch: „Solzer“ in Bornheim, „Atschel“ in Sachsenhsusen. Sushi „Berger Streetfood“, Türkisch „Merkez“, Indisch (wie in Chennai) Saravanaa Bhavan oder Pizza „Montana“ im BHFSVRTL. Drinks: Kinley, neben der Fixerstube. und ein Bier im „Yok Yok“. "
Mon Dec 02 23:32:23 +0000 2019,"Ich werde nur Rotwein, Bier und Whiskey preppen. Alles andere ist mir zu mühselig. Ausserdem ist Armaggedon besoffen schöner."
Mon Dec 02 19:52:40 +0000 2019,Drinking a Grüner Vollbier Hell / Grünerla by Grüner Bier at @eventsatnovotel —
Mon Dec 02 19:20:45 +0000 2019,"Samstags halb vier - Fußball, Bratwurst, Bier. Montags 20:20 Uhr vor #M05SGE – at OPEL ARENA"
Mon Dec 02 15:11:37 +0000 2019,"Heizöl, Bier &amp; Co: Fünf Produkte, die in 20 Jahren mega-teuer geworden sind | Geld "
Mon Dec 02 12:04:30 +0000 2019,Ich reise von Bad Wildungen nach München Hbf. Abfahrt: 13:05 Uhr Gl. 1 mit #RB23110. Ankunft: 17:43 Uhr Gl. 18 mit #ICE789. Auf geht es. Hoffentlich gibt es noch Bier und Haxn in München :-)
Mon Dec 02 11:32:52 +0000 2019,Eskalation bei #Gilde. In Kantine und Produktion werden Mitarbeiter durch Wände voneinander getrennt. #Bier Konzern aus #Hannover wurde in mehrere Einzelfirmen aufgeteilt. Hintergrund ist der Tarifstreit mit der @GewerkschaftNGG #Niedersachsen
Sun Dec 01 22:04:29 +0000 2019,"Es gibt ein neues #Bier gebraut in #Heidelberg. Es ist ein #IPA und das erste seiner Art. Gefunden habe ich es im #Restaurant ""Zum #Achter"" in #Neuenheim. #craftbier #craftbeer #heidelbrew #microbrewery #beer @… https://www.instagram.com/p/B5i8BVQo0ET/?igshid=1szce3tray86q"
Sun Dec 01 21:38:40 +0000 2019,"Wenn das so weitergeht, brauch ich gleich ein Bier. #AnneWill"
Sun Dec 01 21:36:55 +0000 2019,"Darum geht's nicht, sondern darum, dass er offensichtlich der einzige Mensch ist, der mit anderen Menschen Bier trinkt."
Sun Dec 01 20:53:36 +0000 2019,Bier trinken! #AnneWill @NowaboFM Muss das sein?!
Sun Dec 01 19:51:16 +0000 2019,"400 Roster und 125 Brätl unterhalb von 3,5 Stunden verkauft. Dazu noch 150 Liter Glühwein und etliche Bier. Ich kann mich nicht erinnern dass wir jemals so viel zu diesem Weihnachtsmarkt verkauft haben. Wetter war ideal. Für den Verein ist es gut. "
Sun Dec 01 19:41:56 +0000 2019,Bruchhagen und Klinsmann werden eher kein Bier zusammen trinken gehen. #Sky90
Sun Dec 01 15:59:15 +0000 2019,"Bekomme ich zumindest einen Kasten Bier für die Werbung, @HimmelderBayern ?"
Sun Dec 01 13:32:42 +0000 2019,"Bayern-Profi @LucasHernandez auf die Frage, wovon er nach seinen ersten Monaten in Deutschland am meisten beeindruckt sei: „Ich habe weder in Spanien noch in Frankreich erlebt, dass die Leute so viel Bier trinken wie hier. Das ist unglaublich.” #FCBayern #FCB"
Sun Dec 01 12:35:59 +0000 2019,"stimmabzug für den witz unter der gürtellinie, während es keine schorle oder bier im ausschank gibt. #betze #fckaomv #fckjhv"
Sun Dec 01 11:30:51 +0000 2019,Oder drei Bier in Dortmund.
Sun Dec 01 11:14:29 +0000 2019,Kein Bier vor vier ...
Sun Dec 01 06:09:46 +0000 2019,"Endlich habe ich jemanden gefunden, der auch kein Bier mag. Ich finde das Zeug schmeckt einfach schrecklich. Genau wie (Glüh)wein."
