Sun Jun 30 23:54:44 +0000 2019,Denk an das Vorsorge - Bier 
Tue Jun 11 18:30:16 +0000 2019,#erlangen #bergkirchweih #beer #bier #party #feiern #joy #fun #germany #deutschland #franken @Erlanger Bergkirchweih https://www.instagram.com/p/BylF-_LoDgV/?igshid=apc8a00eulhc
Tue Jun 11 18:22:33 +0000 2019,"4 ,5 Bier pro Tag? Ja, normal.. #HartzUndHerzlich"
Tue Jun 11 16:44:38 +0000 2019,#prost #bier #erlangen #bergkirchweih @Bergkirchweih Erlangen | http://Berch.info https://www.instagram.com/p/Byk55aLI-gf/?igshid=sy1cu3gnwoig
Tue Jun 11 16:38:34 +0000 2019,Alle guten Dinge sind drei.. #RaR19 #RockAmRing2019 #RockAmRing #RaR2019 #Bier @Rock am Ring https://www.instagram.com/p/Byk5M0RCc4D/?igshid=gb20sgnrqttr
Tue Jun 11 14:35:25 +0000 2019,Schon mal vormerken... #restauration #kolonialwarenladen #colonialwarenladen #onkeltomshütteottweiler #feinkost #colonialwaren #kolonialwaren #pub #café #kneipe #ottweiler #saarland #gemütlich #gemütlichkeit #bier… https://www.instagram.com/p/BykrG-FoFid/?igshid=ch121kk4fq8w
Tue Jun 11 14:25:44 +0000 2019,"Mein Gesicht, wenn ich dein Bier (und Apfelwein) aus dem Zelt klaue. #hoppla @Rock am Ring https://www.instagram.com/p/Bykp_3NiPxx/?igshid=1ke160gflqouv"
Tue Jun 11 11:23:08 +0000 2019,"Apropos Getränke. Mir ist noch eingefallen:In meiner Glanzzeit rechneten wir pro Person einen halben Kasten Bier (0,5 l) und eine Flasche Apfelkorn."
Tue Jun 11 09:46:18 +0000 2019,"Schick die Kollegen einfach früh morgens nach Köln, dann bekommen die ein Bier und alles ist in Ordnung."
Tue Jun 11 07:04:47 +0000 2019,"#thread. Für alle die sich für was besseres halten und weiter am Bier nippen wollen, wärend jemand anderes blutend am Boden liegt. "
Mon Jun 10 20:19:34 +0000 2019,Öhm ich trinke nicht gerne Bier. Shit was nu? 
Mon Jun 10 18:46:50 +0000 2019,"Bier her, Bier her oder ich fall um..."
Mon Jun 10 16:48:49 +0000 2019,"Egal Ich bin müde, würde gern ein Radler trinken, aber ich bin zu faul Bier und Limo kaufen zu gehen. Das sind wirkliche Probleme "
Mon Jun 10 10:38:23 +0000 2019,Chillen Bier Bass und Spaß #VW #Passat #Audi #ilsede
Mon Jun 10 10:22:01 +0000 2019,Vanille gerochen Lust auf kalte Cola Kühlschrank auf Keine Cola da Kaltes Bier vorhanden Lust auf Bratwurst Baut den Grill auf Ist das dieser Schmetterlingseffekt? #Butterfly #Nature
Mon Jun 10 09:24:24 +0000 2019,Mit @herrmaurer würde ich gern mal Bier trinken.
Mon Jun 10 09:16:22 +0000 2019,Das gilt aber gar nicht für Bier das ist doch bestimmt doof für dich? 
Sun Jun 09 23:57:17 +0000 2019,"Während ihr ein Bier nach dem Nächsten kippt haben wir keine Zeit auch nur ein Glas Wasser zu trinken. Während ihr euch den Bauch vollschlagt bringen wir das gut duftende Essen raus und können selbst nichts essen, ganz gleich wie viel Hunger wir haben."
Sun Jun 09 22:24:14 +0000 2019,"Heimweg, Eltern mit Kind überholt. ""Wenn du Bier trinkst, hast du Matschepampe im Kopf"" (auf uns zeigend). Wir weiter, hilflos kichernd. Matschepampe "
Sun Jun 09 21:20:05 +0000 2019,"Drei Bier zur Wanderung. Nen ""kleines "" Glas Wein zur dekoration des Wohnzimmers weil wegen Geburtstag vom Sohn morgwn6.. und ich bin kaum angetüterz."
Sun Jun 09 20:46:25 +0000 2019,Klönen bei Kerzenlicht auf dem Balkon mit Bier aus der Buddel und Amerikana aus dem Bluetooth Speaker. Sommer is schon geil.
Sun Jun 09 20:33:01 +0000 2019,Nichts schlimmeres als schreiende Weiber auf dem Damenklo.
Sun Jun 09 18:57:42 +0000 2019,"Ich weiß, sie tranken heimlich Bier und predigten öffentlich Wasser...oder so... – at Im Goldenen Kessel"
Sun Jun 09 18:20:59 +0000 2019,Packt fürs Fitnessstudio und die Pulle Bier auf dem Tisch #tatort
Sun Jun 09 18:05:10 +0000 2019,Ab morgen abend dann wieder das gute Kilimanjaro-Bier.
Sun Jun 09 17:24:11 +0000 2019,FREI BIER FÜR ALLE!!!!!
Sun Jun 09 17:22:03 +0000 2019,"Eher gleich hinlegen. Bin seit 10,5h wach, seit 9h trinke ich Bier. "
Sun Jun 09 16:21:52 +0000 2019,"Bisher gut. Bier läuft, und Bestellung ist aufgegeben. Gibt auch Kölsch hier, aber das traue ich mich hier nicht zu trinken "
Sun Jun 09 16:20:10 +0000 2019,Nürnberg - Video: Irres Spektakel bei Rock im Park: Bier-Gottesdienst löst lauten Jubel aus https://www.focus.de/regional/nuernberg/nuernberg-video-irres-spektakel-bei-rock-im-park-bier-gottesdienst-loest-lauten-jubel-aus_id_10809574.html?rnd=969a7284b6361c8e34153329b37645c3
Sun Jun 09 16:17:37 +0000 2019,Hobby Tunier beim TuS Eisern e.V heute gepfiffen. Schön wars. Aber auch Anstrengend. #schiedsrichter #fußballistmeinLeben #tuseisern #hobbytunier #bier #spaß #sonne @TuS Eisern e.V https://www.instagram.com/p/ByftNhyiCptZ6_vGzPfFn0Pov1AVIAfhaSZhWo0/?igshid=1ctpfkiy2w54b
Sun Jun 09 16:04:37 +0000 2019,RöPi statt KöPi. Warum nur komme ich jedes Jahr hier hin und freu mich auch noch drauf? Also am Bier liegt das wohl nicht 
Sun Jun 09 15:11:43 +0000 2019,Weltneuheit von @Glaabsbraeu Ein Bier-Apfelwein-Hybrid. Schmeckt sehr geil. #streetfood #Festival
Sun Jun 09 15:07:29 +0000 2019,Nicht das schönste Wetter aber zum grillen und nen Bier reicht es... 
Sun Jun 09 13:57:31 +0000 2019,"Örgs. Der Fav ist jetzt aber ausdrücklich nur für dich, nicht für das schlimme Bier "
Sun Jun 09 13:35:42 +0000 2019,Darf ich meinem Lokführer des ICE4 ein Bier ausgeben?
Sun Jun 09 09:10:07 +0000 2019,"Männerabend mit Kollegen im Alt-Düren und danach auf dem Biermarkt. Schocken, Bier und ein paar kurze #altdüren #biermarkt #hofbräu #mettwurst #dickebohnen #bier #jägermeister #korn #rentnergedeck #bitburger… https://www.instagram.com/p/Bye8SqeoBJP/?igshid=bgie36wx9jo2"
Sun Jun 09 06:42:32 +0000 2019,Die blühende #Bier- und #Fachwerkstadt #Einbeck wünscht frohe #Pfingsten ⚘ Genießt das lange Wochenende mit euren Lieben #weserbergland #MeinNiedersachsen #Harz #Niedersachsen #Northeim #Südniedersachsen #pfingstrosen #peony #peonies #peonies #naturephotography #blüten
Sun Jun 09 06:37:52 +0000 2019,Wer von Euch war das? (und ist nicht auf ein Bier vorbei gekommen) 
Sat Jun 08 22:32:27 +0000 2019,Na dann. Auch ein Bier?
Sat Jun 08 22:31:52 +0000 2019,"Mir gefällt es sehr, auch wenn es früher mit mehr Bier war. #Tee #DieÄrzte #RockAmRing2019 Weiß jemand ein gutes #KonzertkartenVersandUnternehmen? @BelaB_official"
Sat Jun 08 21:33:09 +0000 2019,"So viel Liebe. Die Jungen hier bringen mir mehr Bier, als ich trinken kann, nur weil sie gehört haben, dass ich Rücken hab "
Sat Jun 08 21:21:22 +0000 2019,"Neue Terminals, auch für den Am-Platz-Service, sind ja im Anmarsch. Wurden auf der DBME in 2018 angekündigt. Soll bald losgehen. Dann ist der ICE die schnellste Kneipe des Landes, wo man auch ein einzelnes Bier mit #ApplePay bezahlen kann."
Sat Jun 08 21:13:07 +0000 2019,Nächstes mal gerne auf ein Bier
Sat Jun 08 21:10:10 +0000 2019,"Jetzt bin ich aber ""leider"" Bier trinken... "
Sat Jun 08 20:55:09 +0000 2019,Nürnberg - Video: Bier-Blaster-Kanone bei Rock im Park 2019: Festival-Besucher sind erfinderisch https://www.focus.de/regional/nuernberg/nuernberg-video-bier-blaster-kanone-bei-rock-im-park-2019-festival-besucher-sind-erfinderisch_id_10808158.html?rnd=b7fa92fab28a3b84866d9230c3d7fd4d
Sat Jun 08 20:23:23 +0000 2019,Ja! KEIN MEHR BIER! 
Sat Jun 08 20:15:11 +0000 2019,"Nürnberg - Video: Bier-Jesus versammelt Jünger bei Rock im Park - ""Radler-Trinker brennen in der Hölle"" https://www.focus.de/regional/nuernberg/nuernberg-video-bier-jesus-versammelt-juenger-bei-rock-im-park-radler-trinker-brennen-in-der-hoelle_id_10808120.html?rnd=5e8fa8566f7cddb7a1558f6fd2a614c5"
Sat Jun 08 19:44:26 +0000 2019,"Der J-Rave der #dokomi geht steil nach vorne! Geile Musik, trinkbares Bier, Top! #dokomi2019"
Sat Jun 08 19:08:18 +0000 2019,Und ich zu wenig... Viel Bier!?
Sat Jun 08 19:08:03 +0000 2019,Fussball und Bier... gehört zusammen - Drinking a Veltins Pilsener by Brauerei VELTINS @Scherlebeck — http://untp.beer/s/c760592901
Sat Jun 08 18:54:47 +0000 2019,Zeit zum Bier trinken!
Sat Jun 08 18:43:06 +0000 2019," „Es gibt kein Bier auf Hawaii, es gibt kein Bier...“ Von wg. Hawaii und Hannover passen nicht zusammen! #LiquidAloha @KonaBrewingCo #Wood"
Sat Jun 08 18:26:46 +0000 2019,"Auf @3sat läuft #RAR19 Bin ich der einzige, der die Kameraführung bzw. die Bildregie grauenhaft findet? Kamerakind Mike hatte wohl zu Bier?!"
Sat Jun 08 18:24:38 +0000 2019,"War in jüngeren Jahren öfter bei Freunden in Zang. Eines Sonntags sassen der Kumpel und ich mit einer Pulle Bier in der Hand vor der Kirche, als der Gottesdienst aus war. Diese Blicke..."
Sat Jun 08 18:19:58 +0000 2019,Trinkt mehr Salbei Bier 
Sat Jun 08 18:18:48 +0000 2019,"Dann hier, dein heutiges Bier. Dann bekommst du das nächste mal dein leckeren Rosé Weinchen. "
Sat Jun 08 18:14:59 +0000 2019,Danke aber ich glaub heute ist auch Bier okay ansonsten immer gerne Rosé 
Sat Jun 08 17:42:35 +0000 2019,"Den ganzen Tag buddeln, Grillen mit tollen Menschen im Garten, Sandmännchen gucken und 'n Bier zu Belohnung. #CouldtNotAskForMore"
Sat Jun 08 17:21:46 +0000 2019,Genug getan für heute. #bier 
Sat Jun 08 14:32:48 +0000 2019,"#Bier aus dem Tonkrug, wunderbarer Blick auf die #Heimat und im Hintergrund spielt ein Herr auf der Mundharmonika das Kreuzberglied. Das Leben kann so schön sein. #Kreuzberg #rhön #eimat"
Sat Jun 08 14:07:06 +0000 2019,"Stiefel glänzen, das Bier ist kalt, Wochenende "
Sat Jun 08 14:02:43 +0000 2019,"Samstag Nachmittag einfach mal geniessen. #grillwetter #webergrill #lecker #nomnom #heilbronn #freizeit #bier #augustinerbräu @Heilbronn, Germany https://www.instagram.com/p/Byc4_AsCo5Z/?igshid=11154e0mo5eh7"
Sat Jun 08 13:29:39 +0000 2019,#party #bier #prost #aufeuch (@Pfingstfest Angelbachtal in Baden-Württemberg)
Sat Jun 08 11:13:39 +0000 2019,Unterhalt wurde um 5 Euro gekürzt.... Jetzt kann ich mir doch ein Bier am Volksfest leisten... 
Sat Jun 08 10:02:23 +0000 2019,"Auftritt eines Typen, der den ""Shirt des Tages""-Award solide einsackt. ""Toleranz fängt bei Laktose an"". Ich bestell mal lieber noch ein Bier. #DOQUPeople"
Sat Jun 08 09:29:20 +0000 2019,"Kein Bier vor 4 ist doch auch langweilig. Bier nachm Aufstehen, so muss das!"
Sat Jun 08 09:02:26 +0000 2019,"Heute hab ich keine Stunde gewartet bis zum ersten Bier, aber andererseits bin ich seit 5h ständig wach gewesen, weil der Wind so laut ist und mir wiederholt das Zelt ins Gesicht gedrückt hat. Camping, yeah!"
Sat Jun 08 09:00:10 +0000 2019,Kann man am HBF Karlsruhe Proviant in Form von gekühlten Bier im praktischen Sixpack kaufen? Ich frage für eine Lustreise.
Sat Jun 08 08:38:49 +0000 2019,Dinge die ich nicht so mag: Wenn auf dem Parkplatz vom Supermarkt beim Rückwärtsfahren plötzlich ein Kind in der Kamera erscheint.
Sat Jun 08 08:37:51 +0000 2019,"Eine liebe Freundin von mir ist auf der Suche nach Kollegen. Ist hier vielleicht jemand auf der Suche? Gerne RT, #followerpower #jobs https://kleintierpraxisandersoeste.de/karriere/"
Sat Jun 08 06:19:07 +0000 2019,Ist Bier oder Whiskey jetzt schon ok?? 08:19?? 
Fri Jun 07 22:06:07 +0000 2019,"Hey #becks Bier, danke für die Erfrischung bei #rockimpark2019, wo es nur euer Bier gibt. Seid euch sicher, dass ich den Rest des Jahres besseres Bier genieße. Erfolg durch Konsumzwang ist so '90er, Fuckers. Rock im Park ist leider eine riesige Abzocke. @rockimpark_com"
Fri Jun 07 20:25:50 +0000 2019,"Ok, habe gerade tschechisches Bier für mich entdeckt."
Fri Jun 07 19:56:47 +0000 2019,Oder besser: die #Welt kann die #Bier- und #Fachwerkstadt in #Südniedersachsen nun wieder direkt per @DBRegio_NDS erreichen http://www.einbeck-marketing.de/einbeck-erleben #Einbeck #meinniedersachsen
Fri Jun 07 19:22:27 +0000 2019,Dazu ein lecker Hanf Bier Nam Nam Nam
Fri Jun 07 19:10:53 +0000 2019,Jetzt nen Bier.
Fri Jun 07 17:13:15 +0000 2019,Habe das gerade mal gemacht: http://gemis.de hat Klimabilanzen für Lebensmittel errechnet. Darunter auch Bier: 452g CO2 Äuqivalente pro Kg. Eine Maß würde somit theoretisch durch eine Steuer iHv 180€/t nur um ca 8 Cent teurer werden.
Fri Jun 07 16:48:10 +0000 2019,"Klimaschutz schützt unser Bier! _____________________ Laut einer Studie von Nature Plants steigt durch die Klimakrise der Bierpreis enorm an. Beispielsweise in Irland um fast 200%. Wenn ihr nicht wollt, dass die… https://www.instagram.com/p/ByanHfQi9qa/?igshid=192kt9ga8v8io"
Fri Jun 07 16:40:02 +0000 2019,Drinking an Allgäuer Büble Bier Bayrisch Hell by Allgäuer Brauhaus @Der kleine Konig — http://untp.beer/s/c759777123
Fri Jun 07 16:24:00 +0000 2019,"Geh auf die Terasse, is noch Bier da "
Fri Jun 07 16:14:59 +0000 2019,Bier mit Aussicht. #franconia #beerwithaview #elchbräu #fränkischeschweiz @Gößweinstein https://www.instagram.com/brainseller/p/ByajUoPifXN/?igshid=tphpipwgiji6
Fri Jun 07 15:15:14 +0000 2019,"Karlsruhe - In einer Hand das Bier, in der anderen den Regenschirm? So wird das Wetter am Burgfest-Wochenende https://www.focus.de/regional/karlsruhe/karlsruhe-in-einer-hand-das-bier-in-der-anderen-den-regenschirm-so-wird-das-wetter-am-burgfest-wochenende_id_10805308.html?rnd=144d0e70dbc5569a9cbebf3ff07a4a30"
Fri Jun 07 15:05:20 +0000 2019,"Hitzeschlacht erledigt, das war der gemütliche Longrun für diese Woche- mehr ging einfach nicht!! Hab’s gerade noch so bis zum Bier geschafft Und denkt dran Ihr Süßen: „Es wird immer einen Kenianer geben,… https://www.instagram.com/p/ByabWa_oDKL/?igshid=cqgofcb9glv0"
Fri Jun 07 14:54:41 +0000 2019,moh kannst du mir erklaeren why marionett still get tired when alone oh das weiß ich nicht muede villeicht and why no dog young or old darf ich nicht sagen und das bier mach ich jetzt auf ruehr es um und genieße! tu das
Fri Jun 07 13:28:25 +0000 2019,@schwarzundblau #padercast vllt kann man sich ja mal bei 2-3 Bier über die Bedenken bezüglich dieser Kooperation austauschen..!!? Ich habe es noch nicht verstanden. Würden einen vernünftig Dialog möglichst nah an den Fakten dazu begrüßen.
Fri Jun 07 13:15:49 +0000 2019,"Ich habe hier gehört, Kölsch wäre gar kein Bier, aber was weiß ich schon "
Fri Jun 07 08:15:44 +0000 2019,Ich bin mehr als eine Stunde wach und hab noch immer kein Bier in der Hand. Das muss dieses Älterwerden sein... #rhf2019
Fri Jun 07 06:36:36 +0000 2019,Ich lebe schon ohne Bier und Kaffee. :D Aber Mate wäre schwierig.
Thu Jun 06 21:34:02 +0000 2019,Ex-Hipster Bier. Unauthentisch.
Thu Jun 06 20:37:05 +0000 2019,"Und Journalisten, die eine dringende Fahht haben. Weil z.B. das Bier aus ist. Oder weil die Ehefarau, oder ein Dame ähnlichen Ranges, schnell irgendwo hin will."
Thu Jun 06 19:50:32 +0000 2019,Jepp! Bist du zufällig beim Rock Hard Festival? Wir haben nach all den ja immer noch kein Bier zusammen getrunken.
Thu Jun 06 19:46:04 +0000 2019,Neues Abendritual: mit den Nachbarn aus dem Haus gegenüber auf 100m Luftlinie das Bier zur Nacht erheben.
Thu Jun 06 19:15:43 +0000 2019,"Ja! Bier, Wein, etc. Siehe unten im Bild. Außer Sekt/Longdrinks."
Thu Jun 06 18:54:02 +0000 2019,"Die Gelagsbeitrag für Herren kostet dieses Jahr 115€ für Bier, Wein, Softdrinks etc. Sektbar kostet natürlich extra."
Thu Jun 06 18:14:02 +0000 2019,"Mein Vater will, dass ich sein Bier in der Mikrowelle erwärme. Sollte der Brexit kommen, sitzt er als einer der Ersten auf der Fähre nach Dover. So viel ist sicher!"
Thu Jun 06 17:26:51 +0000 2019,"Alkoholfreies Bier geht klar. Ist nicht das selbe aber geht klar. Allen voran @Bitburger aber bitte entfernt Coca Cola Zero aus eurem Sortiment @CocaCola_De das Zeug schmeckt wie Gift. Lustig ist, dass es mega schäumt wenn man Zucker nachkippt..."
Thu Jun 06 12:27:03 +0000 2019,Danke für die schöne Standgestaltung. Das Bier war echt super lecker 
Thu Jun 06 10:04:26 +0000 2019,"Pizza, Bier und #Usability – die Zutaten für einen perfekten #Testing-Abend! Unser kürzliches #UsabilityTestessen in Düsseldorf ist heute Thema im Blog: https://bit.ly/2HYkZk8 @Testessen"
Thu Jun 06 07:20:59 +0000 2019,"Moin. Ich hoffe, du hast die Nacht ohne Bier gut überstanden. "
Thu Jun 06 06:55:00 +0000 2019,"Bier-Kaugummi kenn ich nicht, ist das mit oder ohne Alk "
Wed Jun 05 23:01:22 +0000 2019,Noch ist das Bier kalt
Wed Jun 05 22:54:29 +0000 2019,Gehen Sie nie mit den ihrem Trauzeugen und dem DJ ihrer anstehenden Hochzeitsfeier auf ein Konzert. Das ganze Bier UND ihren Zustand müssen Sie am nächsten Tag Ihrer zukünftigen Frau erklären.
Wed Jun 05 20:16:19 +0000 2019,Sehr gut. Hab schon gelesen. Kalten Kaffee getrunken und Bier geht heut nicht so leicht runter? 
Wed Jun 05 18:55:23 +0000 2019,Kaltes Bier aus der Region im Halbeglas 
Wed Jun 05 18:49:54 +0000 2019,In meinem nächsten Leben mache ich auch was mit IT... Immer mit ner Buddel Bier am Strand liegen :-)
Wed Jun 05 17:40:17 +0000 2019,"O.k. Fragt mich niemals bei Flunkyball ob ich bei euch im Team mitmache, für ne Flasche Bier brauche ich 20 Jahre"
Wed Jun 05 17:27:36 +0000 2019,Du bist so selbstlos... #Bier
Wed Jun 05 17:11:12 +0000 2019,Umziehen. Es bereitet bei 32 Grad so viel mehr Freude.
Wed Jun 05 15:24:02 +0000 2019,Wenn Du das zweite mal „Bier“ als Duplikat schließen können möchtest…
Wed Jun 05 14:31:30 +0000 2019,"Zelt steht, Bier ist kalt, kann losgehen #rar #bademeister #dieärzte #openair #rockamring #brüder @Nürburgring https://www.instagram.com/p/ByVN5XOAgEG/?igshid=lx7444ram9v3"
Wed Jun 05 13:47:31 +0000 2019,"So ein Besuch im Freibad lässt einen ja auch feststellen, dass andere auch nicht perfekt sind."
Wed Jun 05 08:19:25 +0000 2019,"Oh Hannover wie schön du bist, schon morgens stinkt es nach Bier und eingepisst."
Tue Jun 04 21:06:12 +0000 2019,"ich sollte arbeiten, aber ich trinke lieber ein bier à Frankfurt, Germany https://www.instagram.com/p/ByTWRFjIn7C/?igshid=6tk9o5q27bwv"
Tue Jun 04 21:02:36 +0000 2019,"Zwei Kisten Bier, dass der Server binnen der nächsten zwei Jahre crasht."
Tue Jun 04 19:57:35 +0000 2019,Das Bier ist super. Die Nüsse sind immer tödlich. 
Tue Jun 04 18:58:00 +0000 2019,"Schon mal holländisches Bier probiert, @VlkrDhr ? Ich werde mein St. Nikolaus Bockbier vernissen wenn's nicht mehr da ist "
Tue Jun 04 18:57:32 +0000 2019,Es gibt nur zwei Jahreszeiten um Bier zu trinken. Sommer und wenn kein Sommer ist 
Tue Jun 04 18:21:44 +0000 2019,"Frage grade ein gast ob er noch was zu trinken möchte ,er hatte vorher bier Gast:""ein Wein wäre mir lieber "" Ich wollte grad anfangen mit:"" trocken.."" Seine Antwort:ein ganz normaler,einfacher,ruhiger"" Ich dachte mit in dem Moment:"" und schenke ihm den teuersten wein aus "
Tue Jun 04 18:14:04 +0000 2019,Kollegin fragt: „Warst Du schon hier?“ (Zeche Zollverein) - Verstanden habe ich „Hast Du schon Bier ?“ 
Tue Jun 04 15:07:05 +0000 2019,Bier aus aller Welt https://twitter.com/BierPost?s=17 https://www.bierpost.com/de
Tue Jun 04 13:10:27 +0000 2019,Früher kannte ich von der #SPD bei Sitzungen eher Bier *. Bei der ⁦@SPDBochum1⁩ gibt es Bio-Apfelschorle . Finde ich gut! * = wobei ich da in #Olfen meistens eher Wasser oder anderes getrunken getrunken habe... #Bochum #SPDBochum
Mon Jun 03 18:08:23 +0000 2019,Dann gibt es bei uns noch die Goassmass = Cola Bier und Korn Schlusslichtmass = Maß Weißwein und darin ein Schnapsglas mit Eckes Edelkirsch.
Mon Jun 03 18:04:37 +0000 2019,Bier mit Cola = Diesel
Mon Jun 03 17:20:40 +0000 2019,Na ja Bier habt ihr ja keine 
Mon Jun 03 14:51:44 +0000 2019,Wetten das es in beiden Kabinen mehr Bier gab als im Stadion?
Mon Jun 03 14:18:24 +0000 2019,"#sagenwirmalso - bei der Hitze gestern etwas „unvernünftige“ 90 Km gefahren. Dafür aber in Strullendorf den „Schwanenkeller“ entdeckt. Nette Leute, lecker Essen und gutes Rittmayer Bier #HJKrieg #FränkischeSchweiz #RittmayerBier @Fraenkische #SchwanenKeller"
Mon Jun 03 09:22:12 +0000 2019,After Work Smoking Am Donnerstag den 06 Juni 2019 Laden wir unsere Member zum ersten After Work Smoking in unsere CSC Lounge ein. - Sushi kostenlos - Softdrinks kostenlos - Bier kostenlos Mit… https://www.instagram.com/p/ByPggw6HV7L/?igshid=7vvc6f8pcii5
Mon Jun 03 07:51:31 +0000 2019,Montag halb zehn in der #bahn Bei den Nachbarn geht das erste Bier auf...
Sun Jun 02 21:53:40 +0000 2019,"So. Dann jetzt auch zuhause angekommen, Sachen ausgepackt und Jetzt mit nem Bier aufm Sofa. Danke an alle für diese schöne #GPN19."
Sun Jun 02 21:45:49 +0000 2019,Jetzt noch ein wohlverdientes Bier und dann ab ins Bett. In 6h klingelt der 
Sun Jun 02 19:40:03 +0000 2019,Ich würde gerne. Ich muss mal schauen wo man das Bier kaufen kann. Habe es bisher noch nicht in freier Wildbahn gesehen
Sun Jun 02 19:00:43 +0000 2019,"Seih froh, dass du nix mit Düsseldorf/Köln zu tun hast... Glas Bier =0,2 l"
Sun Jun 02 18:59:23 +0000 2019,Nach zwei Tagen ohne Wasser und mit 30 Grad in der Sonne stink ich dann auch wie ein Iltis. Mag wer riechen zufällig?
Sun Jun 02 18:55:47 +0000 2019,kannst ja zu uns kommen und wir Trinken ein Bier zusammen
Sun Jun 02 18:32:15 +0000 2019,So Männer - ohne #Frauen kein #Bier 
Sun Jun 02 17:05:28 +0000 2019,das ist einheimisches Bier!!!
Sun Jun 02 16:00:15 +0000 2019,Nächstes Mal klappt das mit dem Bier zusammen 
Sun Jun 02 15:41:58 +0000 2019,mein Bier ist aktuell kälter als das von @Wiesendieb
Sun Jun 02 15:14:49 +0000 2019,Wie wär‘s mit einem Bier in der Sonne am Frankenbadplatz oder ein Eis bei Pusterla @triggerflanke? Thema: Wie ist es denn Dir noch so beim #HanseGravel ergangen? bzw #einfachnurso
Sun Jun 02 14:36:21 +0000 2019,"Ein schönen Späten Nachmittag, jetzt mal ein kühles Bier bei der Hitze man kann es ja kaum aushalten. (Unbezahlte Werbung)… https://www.instagram.com/p/ByNgDxRIL9N/?igshid=drv4stykrhh5"
Sun Jun 02 13:56:10 +0000 2019,Das habe ich mir verdient! #wandern #hitze #prost #frankenbier #bier #fränkischeschweiz #prost #schmatz #lindenkeller @Lindenkeller Kirchehrenbach https://www.instagram.com/p/ByNbdsVoNfg/?igshid=yctx1jnck6r3
Sun Jun 02 13:49:05 +0000 2019,Also wir Piraten haben ja immer Rum da. Wenn du im Pott wärst würde ich mit Bier auch aushelfen können oder Schokoladenkekse. Tut mir leid zu lesen das die SPD es wieder mal schwer macht sie gern zu haben :(
Sun Jun 02 13:36:04 +0000 2019,So mittag is durch schnell ein bier dann gehts weiter mit kaffetrincken .komunion is kein zuckerschlecken.
Sun Jun 02 11:04:39 +0000 2019,Mahlzeit mit Little Tom #restauration #kolonialwarenladen #colonialwarenladen #onkeltomshütteottweiler #feinkost #colonialwaren #kolonialwaren #pub #café #kneipe #ottweiler #saarland #gemütlich #gemütlichkeit #bier… https://www.instagram.com/p/ByNH1V8IaBn/?igshid=1vbmaia3m3r7y
Sun Jun 02 10:55:12 +0000 2019,Am Donnerstag den 06 Juli 2019 After work Smoking in der CSC Lounge von 18.00 - 22.00Uhr Sushi und Bier für unsere Member. Viele Grüße CSC Lounge #afterwork #smoking #zigarren #cigars #members #vip #pforzheim… https://www.instagram.com/p/ByNGwi_H7Kj/?igshid=yyb8hxuz90te
Sun Jun 02 10:45:28 +0000 2019,"Ich find‘s cool. Ich bin zwar einem Bier nicht abgeneigt, aber ich finde dieses „Heute feiern wir XY“ als Begründung für exzessives Saufen bis zum Kontrollverlust nicht gut. Daher mein Respekt! Ich ziehe den "
Sun Jun 02 09:45:29 +0000 2019,"„Also wenn dieser CD-Ständer mal mit Flüssigkeit in Kontakt kam, war es Bier - und kein Wasser! Den Lappen schmeiß‘ ich nachher weg.“ #unterstellungen #kalkhof"
Sun Jun 02 09:28:37 +0000 2019,Ach wie schön D'artagnon zerlegen die Schunkelsendung. Erstmal Opi das Bier geklaut #immerwiedersonntags
Sun Jun 02 08:42:26 +0000 2019,"Oder wie der Franke sagt. Holstein Bier, drinsteht drei schiffte vier "
Sun Jun 02 08:15:15 +0000 2019,"Ich grüße euch mal ganz nett aus dem Freilandmuseum vor meinem absoluten Lieblingshaus... Soll ich jemandem was mitbringen? Wurscht, Bier, Honig? – at Fränkisches Freilandmuseum"
Sun Jun 02 06:57:00 +0000 2019,Hoffentlich gibt´s wenigstens Bier!! Beim U19 Pokalfinale gab es wohl keines!
Sun Jun 02 02:03:38 +0000 2019,Und Bier ist vegan. Da konnten sie keine Würstchen reintunken.
Sat Jun 01 22:04:43 +0000 2019,"Nicht so schlimm, ein Prost geht immer, auch mit fast leerem Bier oder Glas. "
Sat Jun 01 21:43:50 +0000 2019,3 Bier? Sollten übrig sein. 
Sat Jun 01 21:10:58 +0000 2019,Das wichtigste ist: Ich habe durch den Sieg eine Kiste Bier von einem Franzosen gewonnen!!! #UCLfinal #totlfc
Sat Jun 01 21:03:57 +0000 2019,Standard beste Bier Überhaupt!
Sat Jun 01 20:14:49 +0000 2019,"So, meine Analyse der Europawahl für unseren Kreisverband ist fertig. 17 Folien, gespickt mit Zahlen und Fakten. Jetzt gibts erstmal ein Bier "
Sat Jun 01 19:51:25 +0000 2019,Von drei Bier?
Sat Jun 01 19:24:26 +0000 2019,Erstma nen Bier!
Sat Jun 01 18:58:53 +0000 2019,Zum Wohl. #restauration #kolonialwarenladen #colonialwarenladen #onkeltomshütteottweiler #feinkost #colonialwaren #kolonialwaren #pub #café #kneipe #ottweiler #saarland #gemütlich #gemütlichkeit #bier #beer #bière @… https://www.instagram.com/p/ByLZT5-IHI4/?igshid=p2impzdbsmtb
